mibig_accession,compounds,accession
BGC0001091,corallopyronin,HM071004.1
BGC0001092,diaphorin,CP003468.1
BGC0001093,disorazol A,DQ013294.1
BGC0001094,enacyloxin IIa,CP000442.1
BGC0001095,fengycin,CP000560.1
BGC0001096,FR901464,HM047288.1
BGC0001098,iturin,AB050629.1
BGC0001099,kalimantacin A,GU479979.1
BGC0001100,lankacidin C,AB088224.2
BGC0001101,leinamycin,AF484556.1
BGC0001102,malleilactone,CP000085.1
BGC0001103,mycosubtilin,AF184956.1
BGC0001104,myxovirescin A1,CP000113.1
BGC0001105,onnamide A,AY688304.2
BGC0001106,oxalomycin B,EF552687.1
BGC0001107,patellazole,JX033584.1
BGC0001108,pederin|pseudopederin|pederone,AY328023.1
BGC0001109,pederin,DD161836.1
BGC0001110,psymberin|irciniastatin B,FJ823461.1
BGC0001111,rhizopodin,FR854394.1
BGC0001112,rhizoxin A,AM411073.1
BGC0001113,spliceostatin|FR901464,KJ461964.1
BGC0001114,thailanstatin A,JX307851.1
BGC0001115,thiomarinol,FN689524.1
BGC0001116,virginiamycin S1,AB283030.2
BGC0001117,himastatin,FR823394.1
BGC0001118,endocrocin,CM000172.1
BGC0001119,divergolide A|divergolide B|divergolide C|divergolide D,HF563079.1
BGC0001120,burkholderic acid,CP000085.1
BGC0001121,orsellinic acid,BN001302.1
BGC0001122,dihydroisoflavipucine|isoflavipucine,CH476594.1
BGC0001123,aspirochlorine,AP007154.1
BGC0001124,pyranonigrin E,ACJE01000019.1
BGC0001125,puwainaphycin A|puwainaphycin B|puwainaphycin C|puwainaphycin D,KM078884.1
BGC0001126,12-epi-hapalindole J isonitrile|ambiguine A isonitrile|ambiguine B isonitrile|ambiguine C isonitrile|ambiguine D isonitrile|ambiguine E isonitrile|ambiguine K isonitrile|ambiguine L isonitrile|ambiguine I isonitrile|ambiguine J isonitrile,KF664586.1
BGC0001127,jagaricin,HE967328.2
BGC0001128,gamexpeptide C,BX470251.1
BGC0001129,xenolindicin A,MIBIG.BGC0001129.1
BGC0001130,fabclavine Ia|fabclavine Ib|fabclavine IIa|fabclavine IIb,NIBS01000014.1
BGC0001131,ambactin,NITZ01000005.1
BGC0001132,xenotetrapeptide,FN667742.1
BGC0001133,taxlllaid A,FN667741.1
BGC0001134,photopyrone A|photopyrone B|photopyrone C|photopyrone D|photopyrone E|photopyrone F|photopyrone G|photopyrone H,NC_005126.1
BGC0001135,bicornutin A1|bicornutin A2,JX424818.1
BGC0001136,desmethylbassianin,HM243222.1
BGC0001137,marinacarboline A|marinacarboline B|marinacarboline C|marinacarboline D,KC541560.1
BGC0001138,a201a,JN651966.1
BGC0001140,platensimycin|platencin|thioplatensimycin|thioplatencin,FJ655920.1
BGC0001141,4-epi-15-epi-brefeldin A,KJ728786.1
BGC0001142,tryptoquialanine,HQ591508.1
BGC0001143,azanigerone A|azanigerone B|azanigerone C|azanigerone D|azanigerone E|azanigerone F,ACJE01000001.1
BGC0001144,neosartoricin B,GG698521.1
BGC0001145,cyclothiazomycin b1,AORZ01000028.1
BGC0001146,cyclothiazomycin C,KJ651958.1
BGC0001147,disgocidine|distamycin|congocidine,KJ634466.1
BGC0001148,pheganomycin,AB896796.1
BGC0001149,brabantamide A,CBLV010000330.1
BGC0001150,pamamycin-607,KM923741.1
BGC0001151,valclavam|(-)-2-(2-hydroxyethyl)clavam,JN705801.1
BGC0001152,fusaricidin B,EF451155.3
BGC0001153,polymyxin B,JN660148.1
BGC0001154,cacibiocin B,CP001700.1
BGC0001155,GE2270,KF366381.2
BGC0001156,platencin,GQ398492.1
BGC0001157,bottromycin A2,FN554889.1
BGC0001158,bikaverin,HE802545.1
BGC0001159,marinopyrrole A|marinopyrrole E|marinopyrrole D|marinopyrrole C|marinopyrrole B,JX157625.1
BGC0001160,"1-nonadecene|(14Z)-1,14-nonadecadiene",CP000951.1
BGC0001161,1-heptadecene,KF550301.1
BGC0001162,1-heptadecene,KF550302.1
BGC0001163,1-heptadecene,GL890825.1
BGC0001164,1-heptadecene,CP002198.1
BGC0001165,curacin A,AY652953.1
BGC0001166,HC-toxin,KC862269.1
BGC0001167,piricyclamide 7005E1|piricyclamide 7005E2|piricyclamide 7005E3|piricyclamide 7005E4,JQ951924.1
BGC0001168,livipeptin,CM001889.1
BGC0001169,piericidin A1,KF874660.1
BGC0001170,clostridiolysin S,DS981518.1
BGC0001171,listeriolysin S,AE017262.2
BGC0001172,chlorizidine A,KF585133.1
BGC0001173,plantazolicin,ABRX01000001.1
BGC0001174,corynazolicin,CP004085.1
BGC0001176,streptomonomicin,JROO01000009.1
BGC0001177,mensacaricin,KJ437437.1
BGC0001178,"UK-68,597",KF192710.1
BGC0001179,rishirilide B|rishirilide A,KJ437438.1
BGC0001180,benvitimod|Not named,BX470251.1
BGC0001181,geosmin,AL645882.2
BGC0001182,chaetoglobosins,NT_165976.1
BGC0001183,lobophorin A,JX306680.1
BGC0001184,bacilysin,CP000560.1
BGC0001185,bacillibactin,CP000560.1
BGC0001186,misakinolide A,KR857273.1
BGC0001187,xenolozoyenone,KM603664.1
BGC0001188,legonaridin,NZ_KN708638.1
BGC0001189,taiwachelin,CU633750.1
BGC0001190,fusaric acid,CM000580.1
BGC0001191,A-102395,KP995196.1
BGC0001192,colistin A|colistin B,KP262070.1
BGC0001193,thiolutin,KM114209.1
BGC0001194,hitachimycin,LC008143.1
BGC0001195,nocardiopsin A|nocardiopsin B|nocardiopsin C|nocardiopsin D,KP339942.1
BGC0001196,desotamide,KP769807.1
BGC0001197,frankiamicin,CP000820.1
BGC0001198,(+)-O-methylkolavelool,CP000875.1
BGC0001199,akaeolide,BBOM01000011.1
BGC0001200,lorneic acid A,BBOM01000004.1
BGC0001201,eremophilene,AM746676.1
BGC0001202,landepoxcin,KP830093.1
BGC0001203,clarexpoxcin,KP830094.1
BGC0001204,versipelostatin,LC006086.1
BGC0001205,communesin A|communesin B|communesin C|communesin D|communesin E|communesin G|communesin H,JQFY01000175.1
BGC0001206,indolmycin,KM596502.1
BGC0001207,teixobactin,KP006601.1
BGC0001208,poaeamide A,CP004045.1
BGC0001209,streptide,CP000419.1
BGC0001210,pseudomycoicidin,CM000745.1
BGC0001211,albachelin,NZ_KB913032.1
BGC0001212,nannocystin a,KT067736.1
BGC0001213,nataxazole,KK106988.1
BGC0001214,marformycin A|marformycin B|marformycin C|marformycin D|marformycin E|marformycin F,KP715145.1
BGC0001215,conglobatin,LN849060.1
BGC0001216,splenocin C,KP719128.1
BGC0001217,PreQ0 Base,KM365440.1
BGC0001218,fumosorinone,KP737857.1
BGC0001219,shanorellin,CH408034.1
BGC0001220,aculeacin A,NW_017962980.1
BGC0001221,marinophenazine A|phenaziterpene A,KJ451627.1
BGC0001222,acidocin B,KP728900.1
BGC0001223,hydroxysporine,KP274855.1
BGC0001224,reductasporine,KP274854.1
BGC0001225,celesticetin,GQ844764.1
BGC0001226,streptocollin,CP006259.1
BGC0001227,isorenieratene,CP006259.1
BGC0001228,retimycin A,NZ_KI911494.1
BGC0001229,SBI-06990 A1|SBI-06989 A2,CP002047.1
BGC0001230,salinamide A|salinamide B|salinamide C|salinamide D|salinamide E|salinamide F|desmethylsalinamide C|desmethylsalinamide E,BK009377.1
BGC0001231,microsclerodermin,KF657739.1
BGC0001232,leucanicidin,NZ_JAIY01000017.1
BGC0001233,feglymycin,KT809366.1
BGC0001234,"4,4'-piperazine-2,5-diyldimethyl-bis-phenol",NW_002477249.1
BGC0001235,antalid,KU245058.1
BGC0001236,thiotetroamide,KT282101.1
BGC0001237,thiolactomycin,KT282100.1
BGC0001238,biotin,FJ430072.1
BGC0001239,biotin,FJ430073.1
BGC0001240,serinocyclin A|serinocyclin B,JELW01000052.1
BGC0001241,ergotamine,JN186799.1
BGC0001242,oxyjavanicin,HE613440.1
BGC0001243,botryenalol|dihydrobotrydial|botryendial|β-O-Methyl-dihydrobotrydialone|botcinic acid|botcinin A,FR717895.1
BGC0001244,(-)-Mellein,KM365454.1
BGC0001245,lasiodiplodin,KJ434938.1
BGC0001246,trans-resorcylide,KJ434939.1
BGC0001247,cercosporin,AY649543.1
BGC0001248,clavaric acid,EU665687.1
BGC0001249,dimethylcoprogen,JQ973666.1
BGC0001250,epichloenin A,JN132403.1
BGC0001251,epichloenin A,JN132407.1
BGC0001252,UNII-YC2Q1O94PT,AB725683.1
BGC0001253,ACT-Toxin I,AB444613.1
BGC0001254,ACT-Toxin II,AB516321.1
BGC0001255,equisetin,KC439347.1
BGC0001256,atromentin,EU711405.1
BGC0001257,"1,3,6,8-tetrahydroxynaphthalene",AF151533.1
BGC0001258,"1,3,6,8-tetrahydroxynaphthalene",AF549411.1
BGC0001259,elsinochrome A,EU086466.1
BGC0001260,terpendole E,AB725916.1
BGC0001261,AM-toxin,AF184074.1
BGC0001262,AK-toxin I,AB872924.1
BGC0001263,ergometrinine,EU730584.1
BGC0001264,betaenone A|betaenone B|betaenone C,LC011911.1
BGC0001265,melanin,AB176546.1
BGC0001266,grayanic acid,GU930713.1
BGC0001267,lysergic acid|elymoclavine,EU006773.1
BGC0001268,fusarin C,JX308619.1
BGC0001269,gibberellin A3|gibberellin A1|gibberellin A7|gibberellin A4|gibberellin A9,AM886292.1
BGC0001270,gibberellin A3|gibberellin A1|gibberellin A7|gibberellin A4|gibberellin A9,Y15279.1
BGC0001271,emericellin,BN001308.1
BGC0001272,elsinochrome B|elsinochrome C,EU086466.1
BGC0001273,asperlactone,AY540947.1
BGC0001274,non-acetylated open-chain sophorolipid|diacetylated lactonic sophorolipid,HM440974.1
BGC0001275,6-methylsalicyclic acid,AY941322.1
BGC0001276,6-methylsalicyclic acid,D85860.2
BGC0001277,nivalenol|vomitoxin|3-acetyldeoxynivalenol|15-acetyldeoxynivalenol|neosolaniol|calonectrin|apotrichodiol|isotrichotriol|15-deacetylcalonectrin|T-2 toxin|3-acetyl T-2 toxin|trichodiene,AF359361.3
BGC0001278,nivalenol|deoxynivalenol|3-acetyldeoxynivalenol|15-acetyldeoxynivalenol|neosolaniol|calonectrin|apotrichodiol|isotrichotriol|15-decalonectrin|T-2 toxin|3-acetyl T-2 toxin|trichodiene,AF359360.3
BGC0001279,deoxysambucinol|sambucinol|roridin E,AF009418.1
BGC0001280,betaenone C|betaenone A,LC011911.1
BGC0001281,ustilagic acid,NC_026500.1
BGC0001282,lolitriol,KC990457.1
BGC0001283,arsono-polyketide,NZ_CM001889.1
BGC0001284,alternariol,KP941080.1
BGC0001285,pseudopyronine A|pseudopyronine B,KT373879.1
BGC0001286,itaconic acid,KT852988.1
BGC0001287,chaxamycin A|chaxamycin B|chaxamycin C|chaxamycin D,LN831790.1
BGC0001288,maklamicin,LC021382.1
BGC0001289,penisin,KT934325.1
BGC0001290,emericellamide A|emericellamide B,BN001307.1
BGC0001291,enterocin NKR-5-3B,LC068607.1
BGC0001292,A33853,KR476659.1
BGC0001293,cyclizidine,KT327068.1
BGC0001294,7-prenylisatin,NZ_LARV01000172.1
BGC0001295,cremeomycin,KT381192.1
BGC0001296,streptazone E,LC061217.1
BGC0001297,WS9326,KT362217.1
BGC0001298,4-Z-annimycin,KF683117.1
BGC0001299,chlorotonil A,KT368180.1
BGC0001300,anthracimycin,KT368179.1
BGC0001301,anthracimycin,LN871452.1
BGC0001302,lomofungin,KP721214.1
BGC0001303,lobosamide A|lobosamide B|lobosamide C,KT209587.1
BGC0001304,aflavarin,EQ963475.1
BGC0001305,fujikurin A|fujikurin B|fujikurin C|fujikurin D,HF679030.1
BGC0001306,asperipin 2a,EQ963476.1
BGC0001307,chaxapeptin,KT305743.1
BGC0001308,simocyclinone D9|simocyclinone D10|simocyclinone D11,NZ_JOAI01000014.1
BGC0001309,usnic acid,KT363732.1
BGC0001310,naringenin,CM000913.1
BGC0001311,flavecins,NZ_ACOK01000098.1
BGC0001312,viscosin,AM181176.4
BGC0001313,arabidiol-baruol,NC_003075.7
BGC0001314,tirucalla,NC_003076.8
BGC0001315,cucurbitacin,MIBIG.BGC0001315.1
BGC0001316,linamarin|lotaustralin,MIBIG.BGC0001316.1
BGC0001317,lupeol,MIBIG.BGC0001317.1
BGC0001318,linamarin|lotaustralin,MIBIG.BGC0001318.1
BGC0001319,α-tomatine,MIBIG.BGC0001319.1
BGC0001320,α-chaconine|α-solanine,MIBIG.BGC0001320.1
BGC0001321,monoterpenes-diterpenes,KC807998.1
BGC0001322,lycosantalonol,KC807995.1
BGC0001323,monoterpenes-diterpenes,KC807997.1
BGC0001324,monoterpenes-diterpenes,KC807996.1
BGC0001325,noscapine,MIBIG.BGC0001325.1
BGC0001327,rakicidin A|rakicidin B,NZ_JOEU01000001.1
BGC0001328,rakicidin A|rakicidin B,KK037233.1
BGC0001329,rakicidin D,KL569388.1
BGC0001330,BE-43547A1|BE-43547A2|BE-43547B1|BE-43547B2|BE-43547B3|BE-43547C1|BE-43547C2,NZ_LEKG01000004.1
BGC0001331,BE-43547A1|BE-43547A2|BE-43547B1|BE-43547B2|BE-43547B3|BE-43547C1|BE-43547C2,NZ_KB900339.1
BGC0001332,microtermolide A,NZ_KB891904.1
BGC0001333,BE-54017,JF439215.1
BGC0001334,caldoniamide A|cladoniamide B|cladoniamide C7|cladoniamide D|cladoniamide E|cladoniamide F|cladoniamide G,JN165773.1
BGC0001335,borregomycin A|borregomycin B|borregomycin C|borregomycin D,JX827455.1
BGC0001336,erdasporine A|erdasporine B|erdasporine C,KF551865.1
BGC0001337,lazarimide A|lazarimide B|lazarimide C,KR052816.1
BGC0001338,citrinin,KT781075.1
BGC0001339,squalestatin S1,KU946987.1
BGC0001340,byssochlamic acid,KU928136.1
BGC0001341,valinomycin,LXWF01000040.1
BGC0001342,Cmc-thuggacin A|Cmc-thuggacin B,GQ981381.1
BGC0001343,aurachin A|aurachin D,AM404078.2
BGC0001344,tubulysin A|tubulysin B|tubulysin C|tubulysin D|tubulysin E|tubulysin F|tubulysin G|tubulysin H|tubulysin I,GU002154.1
BGC0001345,myxochelin A|myxochelin B,AF299336.1
BGC0001346,bananamide 1|bananamide 2|bananamide 3,KX437753.1
BGC0001347,poaeamide B,KU936045.1
BGC0001348,JBIR-100,NZ_JOBF01000033.1
BGC0001349,heronamide A|heronamide B|heronamide C|heronamide D|heronamide E|heronamide F,KP742963.1
BGC0001350,phormidolide,KT727016.1
BGC0001351,cahuitamycin A|cahuitamycin B|cahuitamycin C,KU363800.1
BGC0001352,Tu 3010,LN879414.1
BGC0001353,thiolactomycin,LN879412.1
BGC0001354,U-68204,LN879418.1
BGC0001355,U-68204,LN879416.1
BGC0001356,paeninodin,AHKH01000064.1
BGC0001357,carbamidocyclophane A|carbamidocyclophane B|carbamidocyclophane C|carbamidocyclophane D|carbamidocyclophane E|carbamidocyclophane F|carbamidocyclophane H|carbamidocyclophane M|carbamidocyclophane N|carbamidocyclophane O|carbamidocyclophane P|carbamidocyclophane Q|carbamidocyclophane R|carbamidocyclophane S|carbamidocyclophane T|carbamidocyclophane U,KT826756.1
BGC0001358,leucinostatin A|leucinostatin B,LSBH01000002.1
BGC0001359,PM100117|PM100118,LN997801.1
BGC0001360,mycophenolic acid,HG792019.1
BGC0001361,sodorifen,CP006250.1
BGC0001362,tropodithietic acid,CP002977.1
BGC0001363,ralsolamycin,AL646053.1
BGC0001364,cinnamycin B,NZ_KB907211.1
BGC0001365,clapurines,CAGA01000011.1
BGC0001366,BE-24566B|zunyimycin A,KU243130.1
BGC0001367,haliamide,CP001804.1
BGC0001368,JBIR-126,NZ_JOIB01000012.1
BGC0001369,metatricycloene,KX523614.1
BGC0001370,lipopeptide 8D1-1|lipopeptide 8D1-2,KT362047.1
BGC0001371,echinocandin B,KT806042.1
BGC0001372,penigequinolone A,KX528209.1
BGC0001373,sordarin,LC079035.1
BGC0001374,thienodolin,KU569241.1
BGC0001375,penitrem A|penitrem B|penitrem C|penitrem D|penitrem E|penitrem F,LC027937.1
BGC0001376,WS79089A|hexaricin B|hexaricin C,KT713752.1
BGC0001377,uncialamycin,KT762610.1
BGC0001378,tiancimycin,KT716443.1
BGC0001379,BD-12,LC122485.1
BGC0001380,salecan,KT780309.1
BGC0001381,brasilinolide A|brasilinolide B|brasilinolide C,KP161205.1
BGC0001382,svaricin,KT362050.1
BGC0001383,macrolactin H|macrolactin B|macrolactin 1c|macrolactin E,KF815729.1
BGC0001384,saprolmycin E,LC131463.1
BGC0001385,byssochlamic acid|agnestadrides,KU928136.1
BGC0001386,JBIR-76|JBIR-77,LC125462.1
BGC0001387,nucleocidin,KU881767.1
BGC0001388,gassericin E,KR080485.1
BGC0001389,cichopeptin,KJ513094.1
BGC0001390,LL-Z1272beta,LC125467.1
BGC0001391,thusin,KT454399.1
BGC0001392,pinensins,CP001699.1
BGC0001393,lugdunin,FR870271.1
BGC0001394,phenalamide A2,CP004025.1
BGC0001395,teichomycin A1,KU726098.1
BGC0001396,aldgamycin J|aldgamycin K|aldgamycin P|aldgamycin E,KU568466.1
BGC0001397,lidamycin,CP013739.1
BGC0001398,phomopsin A|phomopsin B|phomopsin E,LC646903.1
BGC0001399,fellutamide B,BN001302.1
BGC0001400,citreoviridin,CH476608.1
BGC0001401,melleolide F|6'-chloromelleolide F|6'-Bromomelleolide F,JF739169.1
BGC0001402,cyclochlorotine|hydroxycyclochlorotine A|cyclotine|cyclochlorotine B|deoxy-Cyclochlorotine,CVMT01000002.1
BGC0001403,trypacidin,CM000172.1
BGC0001404,sorbicillin,AM920436.1
BGC0001405,chaetoviridin E|11-epichaetomugilin A,CH408033.1
BGC0001406,telomycin,KT881498.1
BGC0001407,bicereucin,ADFM01000043.1
BGC0001408,xanthoferrin,AE013598.1
BGC0001409,dutomycin,KP710956.1
BGC0001410,polysaccharide A,AF189282.1
BGC0001411,polysaccharide B,AF285774.2
BGC0001412,polysaccharide C,AF048749.1
BGC0001413,cystobactamid 919-1|cystobactamid 919-2|cystobactamid 919-3,KP836244.1
BGC0001414,griselimycin,KP211414.1
BGC0001415,althiomycin,HG326223.1
BGC0001416,nunapeptin|nunamycin,LIRD01000002.1
BGC0001417,myxochromide D,KX622587.1
BGC0001418,myxochromide D,KX622588.1
BGC0001419,myxochromide D,KX622589.1
BGC0001420,myxochromide D,KX622590.1
BGC0001421,myxochromide B,KX622591.1
BGC0001422,myxochromide A,KX622592.1
BGC0001423,myxochromide C,KX622593.1
BGC0001424,myxochromide C,KX622594.1
BGC0001425,myxochromide A,KX622595.1
BGC0001426,myxochromide A,KX622596.1
BGC0001427,myxochromide A,KX622597.1
BGC0001428,myxochromide A,KX622598.1
BGC0001429,myxochromide S1,KX622599.1
BGC0001430,myxochromide S,KX622600.1
BGC0001431,myxochromide S,KX622601.1
BGC0001432,myxochromide D,KX622602.1
BGC0001433,argimycin PI|argimycin PII|nigrifactin|argimycin PIV|argimycin PV|argimycin PVI|argimycin PIX,LT615255.1
BGC0001434,nematophin,KR871223.1
BGC0001435,ikarugamycin,KF954512.1
BGC0001436,cornexistin,MF197864.1
BGC0001437,obafluorin,KX931446.1
BGC0001438,warkmycin CS1|warkmycin CS2,KZ195572.1
BGC0001439,antibiotic HKI 10311129|antibiotic A2121-1|cervimycin D|cervimycin C|cervimycin A,KZ195574.1
BGC0001440,cystargolide A|cystargolide B,KY249117.1
BGC0001441,belactosin A|belactosin C,KY249118.1
BGC0001442,actinonin,KY906183.1
BGC0001443,matlystatin A,NZ_KB907224.1
BGC0001444,caboxamycin,JJOB01000001.1
BGC0001445,leporin B,EQ963479.1
BGC0001446,asparasone A,EQ963472.1
BGC0001447,primycin,AHBX01000216.1
BGC0001448,malacidin A|malacidin B,KY654519.1
BGC0001449,ucs1025a,CP003004.1
BGC0001450,macrophorin A|4'-oxomacrophorin A|4'-oxomacrophorin D|4'-oxomacrophorin E,MF989995.1
BGC0001451,FR900359,NZ_LGTG01000643.1
BGC0001452,sipanmycin,LT986736.1
BGC0001453,desferrioxamine,LT989883.1
BGC0001454,germicidin,LT989884.1
BGC0001455,antimycin,LT989885.1
BGC0001456,isorenieratene,LT989886.1
BGC0001457,jomthonic acid A|jomthonic acid B|jomthonic acid C,LT990689.1
BGC0001458,salinipostin G,NC_009380.1
BGC0001459,decaplanin,LOBU02000007.1
BGC0001460,decaplanin,AOHO01000074.1
BGC0001461,nogabecin,MQUP01000022.1
BGC0001462,avoparcin,MQUQ01000006.1
BGC0001463,"2,3,4,5-tetrabromopyrrole",KT808878.1
BGC0001464,tetrabromopyrrole,KR011923.1
BGC0001465,bromophene|bistribromopyrrole|pentabromopseudilin,NC_015276.1
BGC0001466,wortmanamide,MG837519.1
BGC0001467,hapalosin,NZ_KE650771.1
BGC0001468,bicyclomycin,PKFQ01000001.1
BGC0001469,marthiapeptide A,LMPN02000037.1
BGC0001470,macrobrevin,LMPN02000017.1
BGC0001471,saalfelduracin,NZ_FOEF01000002.1
BGC0001472,berninamycin A,KC894738.1
BGC0001473,Sch 18640,PYBV01000027.1
BGC0001474,thiopeptin,PYBW01000040.1
BGC0001475,aspterric acid,NT_165929.1
BGC0001476,pseudouridimycin,MG266907.1
BGC0001477,lydicamycin,MG459168.1
BGC0001478,desferrioxamine E,MG459167.1
BGC0001479,anabaenopeptin NZ857|nostamide A,CP001037.1
BGC0001480,tundrenone,NZ_JMLA01000001.1
BGC0001481,α-acorenol,HF679032.1
BGC0001483,5-isoprenylindole-3-carboxylate β-D-glycosyl ester,KT895008.1
BGC0001484,2'-chloropentostatin|2'-amino-2'-deoxyadenosine,KP025768.1
BGC0001485,chuangxinmycin,MG824991.1
BGC0001486,3-thiaglutamate,AEAK01000424.1
BGC0001487,"3,7-dihydroxytropolone",MF955860.1
BGC0001488,4-formylaminooxyvinylglycine,CM001025.1
BGC0001489,6-hydroxymellein,MG777496.1
BGC0001490,"6,6'-oxybis(2,4-dibromophenol)",KX588879.1
BGC0001491,67-121C,MEIA01000001.1
BGC0001492,abyssomicin M|abyssomicin N|abyssomicin O|abyssomicin P|abyssomicin Q|abyssomicin R|abyssomicin S|abyssomicin T|abyssomicin U|abyssomicin V|abyssomicin W|abyssomicin X,KY432814.1
BGC0001493,achromosin,NZ_JODT01000002.1
BGC0001494,acinetodin,ATGG01000011.1
BGC0001495,actinoallolide A,LC326402.1
BGC0001496,actinokineosin,AYXG01000139.1
BGC0001497,actinonin,KY906183.1
BGC0001498,aerobactin,CBXF010000089.1
BGC0001499,aerobactin,MH015021.1
BGC0001500,allocyclinone,KT996129.1
BGC0001501,ambiguine P,KY026488.1
BGC0001502,amonabactin P 750,CP000462.1
BGC0001503,amycolamycin A|amycolamycin B,MF990204.1
BGC0001504,amycomicin,CP024894.1
BGC0001505,anacyclamide D8P|sphaerocyclamide,MF140698.1
BGC0001506,anantin B1|anantin B2,NZ_JOAW01000056.1
BGC0001507,anantin C,JJOH01000097.1
BGC0001508,andrastin A,KY349137.1
BGC0001509,anikasin,NZ_LVEJ01000013.1
BGC0001510,anisomycin,KY014292.1
BGC0001511,ansamitocin P-3,KY489977.1
BGC0001512,BE-24566B,KY964612.1
BGC0001513,anthrabenzoxocinone,KY978480.1
BGC0001514,aristeromycin,LC054541.1
BGC0001515,aspercryptins,BN001302.1
BGC0001516,aspergillic acid,NW_002477238.1
BGC0001517,asperphenamate,NT_165937.1
BGC0001518,astellolide A,BA000051.1
BGC0001519,aurantimycin A,AOPZ01000014.1
BGC0001520,aurantinin B|aurantinin C|aurantinin D,LYMC01000002.1
BGC0001521,auriculamide,CP000875.1
BGC0001522,auroramycin,MH101993.1
BGC0001523,azalomycin F3a,KY484834.1
BGC0001524,barnesin A,CP003333.1
BGC0001525,bartoloside 2|bartoloside 3|bartoloside 4,KR059027.1
BGC0001526,bartoloside E|bartoloside F|bartoloside G|bartoloside H|bartoloside I|bartoloside J|bartoloside K,KX083339.1
BGC0001527,basidioferrin,KY287598.1
BGC0001528,betaestacin,LC274619.1
BGC0001529,benzastatin J|7-hydroxyl benzastatin B|7-hydroxyl O-demethylbenzastatin A|JBIR-67|7-hydroxyl benzastatin F|7-hydroxyl O-demethylbenzastatin D|O-demethylvirantmycin|7-hydroxyl benzastatin D|virantmycin|benzastatin K|methylbenzastatin K,LC177364.1
BGC0001530,bicyclomycin,NZ_NHZO01000168.1
BGC0001531,bisucaberin B,LC090204.1
BGC0001532,bogorol A,KY810814.1
BGC0001533,borrelidin,KT362046.1
BGC0001534,branched-chain fatty acids,MG324007.1
BGC0001535,branched-chain fatty acids,MG324008.1
BGC0001536,brevicidine,KY810815.1
BGC0001537,butyrolactol A,NZ_BBOK01000014.1
BGC0001538,caboxamycin,JJOB01000001.1
BGC0001539,cattlecin,FQ859185.1
BGC0001540,CC-1065,KY379149.1
BGC0001541,cercosporin,LKMD01000100.1
BGC0001542,cercosporin,KY656140.1
BGC0001543,chejuenolide A|chejuenolide B,HE664023.1
BGC0001544,chlorflavonin,MSFM01000001.1
BGC0001545,chrysogine,NC_026476.1
BGC0001546,chuangxinmycin,MG824991.1
BGC0001547,citreohybridonol,LC102187.1
BGC0001548,citrulassin A,LWBU01000091.1
BGC0001549,citrulassin B,NZ_AOPZ01000017.1
BGC0001550,citrulassin D,NZ_JNZY01000033.1
BGC0001551,citrulassin E,NZ_CP009438.1
BGC0001552,citrulassin F,BA000030.3
BGC0001553,clifednamide A,MF893273.1
BGC0001554,coenzyme F430,NC_007355.1
BGC0001555,colicin V,NC_011980.1
BGC0001556,combamide,MH167394.1
BGC0001557,cornexistin,MF197864.1
BGC0001558,cosmomycin C,NZ_KB898282.1
BGC0001559,crocagin A|crocagin B,CP012159.1
BGC0001560,cryptomaldamide,KY315923.1
BGC0001561,curacomycin,LMWJ01000028.1
BGC0001562,curacomycin,LMWJ01000003.1
BGC0001563,curvupallide-B,LC208781.1
BGC0001564,cusperin,MG518226.1
BGC0001565,cyclosporin C,MF716954.1
BGC0001566,cylindrocyclophane,KX682397.1
BGC0001567,cysteoamide,CP016438.1
BGC0001568,cytorhodin,MF773975.1
BGC0001569,dechlorocuracomycin,CP011533.1
BGC0001570,deimino-antipain,LWBU01000384.1
BGC0001571,demethoxyviridin,MG886384.1
BGC0001572,desferrioxamine E,MH015039.1
BGC0001573,dihydrolysergic acid,KY677717.1
BGC0001574,diisonitrile antibiotic SF2768,KY427327.1
BGC0001575,dipeptide aldehydes,NZ_ACII02000003.1
BGC0001576,divamide A,KY115608.1
BGC0001577,divamide B,KY115609.1
BGC0001578,duclauxin,EQ962653.1
BGC0001579,duramycin,NZ_MOEP01000024.1
BGC0001580,ebelactone,LT608336.1
BGC0001581,ECO-02301,AY899213.1
BGC0001582,ecumicin,KJ144825.1
BGC0001583,emodin,BK010419.1
BGC0001584,C-1027,KU597647.1
BGC0001585,melinacidin IV,BK010420.1
BGC0001586,EPS273,NZ_CP015641.1
BGC0001587,ethylenediaminesuccinic acid hydroxyarginine (EDHA),BA000030.3
BGC0001588,exopolysaccharides,NC_017831.1
BGC0001589,exopolysaccharides,NC_011001.1
BGC0001590,formicamycins A-M,KX859301.1
BGC0001591,fatty acid enol ester|N-tetradecanoyl tyrosine,JF429413.1
BGC0001592,ferroverdin|bagremycin,MG708299.1
BGC0001593,ficellomycin,KY454693.1
BGC0001594,fischerindole L,KY026487.1
BGC0001595,fischerindole,KY026489.1
BGC0001596,fluostatins M-Q,NZ_CP010519.1
BGC0001597,fluvirucin B2,LC095592.1
BGC0001598,foxicin A|foxicin B|foxicin C|foxicin,KT440882.1
BGC0001599,fragin,HG938371.2
BGC0001600,fusarielin H,HG970332.2
BGC0001601,gassericin-S,LC389591.1
BGC0001602,gassericin-T,LC389592.1
BGC0001603,gentamicin,KY971520.1
BGC0001604,gibberellin,KT216505.1
BGC0001605,gibberellin,NC_000914.2
BGC0001606,gibepyrone-A,HF679033.1
